"""Datum""";"""alias""";"""timestamp""";"""value""";"""air_temperature""";;;;;;
05.11.2012 04:32;6;1.35209E+12;6;7.7;;;;;;
08.11.2012 06:29;5;1.35236E+12;10;2.2;;;;;;
09.11.2012 22:03;7;1.3525E+12;8;8.9;;;;09.05.2022 03:37;;1.65207E+12
14.11.2012 19:50;6;1.35292E+12;3;5.8;;;;;;
15.11.2012 04:29;6;1.35295E+12;12;4.9;;;;;;
21.11.2012 23:26;9;1.35354E+12;6;4.6;;;;;;
28.11.2012 13:33;9;1.35411E+12;6;5.7;;;;;;
29.11.2012 04:07;9;1.35416E+12;11;0.8;;;;;;
08.12.2012 17:31;7;1.35499E+12;4;-0.8;;;;;;
11.12.2012 16:33;5;1.35524E+12;7;-0.8;;;;;;
20.12.2012 23:14;5;1.35605E+12;4;3.5;;;;;;
30.12.2012 10:08;8;1.35686E+12;7;8.3;;;;;;
02.01.2013 12:19;6;1.35713E+12;9;4.3;;;;;;
02.01.2013 18:42;9;1.35715E+12;6;2.1;;;;;;
06.01.2013 03:48;7;1.35744E+12;5;5.9;;;;;;
11.01.2013 16:36;9;1.35792E+12;9;3.1;;;;;;
11.01.2013 18:57;6;1.35793E+12;1;2.4;;;;;;
16.01.2013 03:54;7;1.35831E+12;7;0.2;;;;;;
23.01.2013 01:05;8;1.3589E+12;12;-1.6;;;;;;
24.01.2013 17:25;8;1.35905E+12;8;0;;;;;;
31.01.2013 13:14;8;1.35964E+12;7;9.6;;;;;;
02.02.2013 04:03;5;1.35978E+12;6;6;;;;;;
02.02.2013 06:41;6;1.35979E+12;8;4.3;;;;;;
04.02.2013 21:50;9;1.36001E+12;1;6.6;;;;;;
14.02.2013 10:44;6;1.36084E+12;10;-3.8;;;;;;
16.02.2013 12:16;9;1.36102E+12;0;3.8;;;;;;
16.02.2013 16:42;8;1.36103E+12;1;4.7;;;;;;
20.02.2013 12:51;6;1.36136E+12;2;2.4;;;;;;
05.03.2013 03:40;9;1.36245E+12;6;-1.3;;;;;;
06.03.2013 08:53;9;1.36256E+12;11;5.8;;;;;;
12.03.2013 01:34;8;1.36305E+12;8;3.3;;;;;;
13.03.2013 02:50;8;1.36314E+12;5;2.4;;;;;;
13.03.2013 08:21;8;1.36316E+12;12;1.4;;;;;;
13.03.2013 12:21;8;1.36318E+12;9;1.1;;;;;;
16.03.2013 14:34;5;1.36344E+12;2;5.8;;;;;;
17.03.2013 01:45;7;1.36348E+12;9;2.9;;;;;;
26.03.2013 00:04;5;1.36426E+12;8;-0.8;;;;;;
01.04.2013 05:14;7;1.36479E+12;11;0.6;;;;;;
02.04.2013 15:20;9;1.36492E+12;12;5;;;;;;
03.04.2013 11:19;5;1.36499E+12;3;4.5;;;;;;
05.04.2013 18:18;7;1.36519E+12;5;4.6;;;;;;
17.04.2013 17:14;9;1.36622E+12;0;20.9;;;;;;
24.04.2013 11:39;7;1.3668E+12;4;12.8;;;;;;
04.05.2013 10:11;6;1.36766E+12;6;12;;;;;;
06.05.2013 03:35;7;1.36781E+12;5;12.1;;;;;;
11.05.2013 08:18;5;1.36826E+12;11;10.1;;;;;;
19.05.2013 11:01;6;1.36896E+12;11;9.5;;;;;;
19.05.2013 14:20;6;1.36897E+12;8;13.6;;;;;;
20.05.2013 11:31;7;1.36905E+12;1;12.8;;;;;;
23.05.2013 02:41;7;1.36928E+12;4;8.6;;;;;;
25.05.2013 00:25;6;1.36944E+12;7;4.6;;;;;;
26.05.2013 05:41;8;1.36955E+12;0;7.1;;;;;;
01.06.2013 05:58;8;1.37007E+12;2;12;;;;;;
02.06.2013 20:35;6;1.37021E+12;2;14.1;;;;;;
02.06.2013 21:04;7;1.37021E+12;8;14;;;;;;
21.06.2013 08:43;7;1.3718E+12;2;17.2;;;;;;
22.06.2013 08:14;5;1.37189E+12;7;15.5;;;;;;
30.06.2013 19:04;9;1.37262E+12;8;21.2;;;;;;
30.06.2013 21:22;8;1.37263E+12;7;19.4;;;;;;
01.07.2013 00:37;6;1.37264E+12;10;16.7;;;;;;
04.07.2013 11:51;6;1.37294E+12;7;17.6;;;;;;
04.07.2013 18:48;6;1.37296E+12;8;20.3;;;;;;
04.07.2013 23:11;8;1.37298E+12;1;18.4;;;;;;
15.07.2013 10:07;9;1.37388E+12;9;22.1;;;;;;
15.07.2013 16:16;7;1.37391E+12;12;26.3;;;;;;
17.07.2013 19:00;6;1.37409E+12;6;23.8;;;;;;
19.07.2013 16:01;9;1.37425E+12;5;28.3;;;;;;
22.07.2013 07:43;6;1.37448E+12;2;21.3;;;;;;
23.07.2013 15:32;9;1.37459E+12;2;29.5;;;;;;
30.07.2013 08:06;5;1.37517E+12;4;16.9;;;;;;
31.07.2013 13:04;7;1.37528E+12;11;23.6;;;;;;
01.08.2013 12:17;5;1.37536E+12;11;24.4;;;;;;
02.08.2013 23:06;6;1.37548E+12;8;25.3;;;;;;
03.08.2013 01:05;8;1.37549E+12;7;23.5;;;;;;
12.08.2013 10:58;5;1.37631E+12;1;21.3;;;;;;
14.08.2013 15:25;5;1.37649E+12;6;21.3;;;;;;
17.08.2013 18:30;6;1.37676E+12;3;27.6;;;;;;
19.08.2013 07:17;6;1.3769E+12;6;19.5;;;;;;
21.08.2013 02:10;8;1.37705E+12;0;15.5;;;;;;
23.08.2013 05:46;7;1.37724E+12;7;15.2;;;;;;
27.08.2013 02:28;8;1.37757E+12;8;15.6;;;;;;
29.08.2013 19:34;8;1.3778E+12;12;22.4;;;;;;
01.09.2013 23:50;5;1.37808E+12;12;15.5;;;;;;
02.09.2013 04:02;9;1.37809E+12;10;13.6;;;;;;
03.09.2013 16:32;7;1.37823E+12;7;26.4;;;;;;
04.09.2013 14:32;9;1.37831E+12;5;22.9;;;;;;
09.09.2013 22:47;9;1.37877E+12;6;15.8;;;;;;
10.09.2013 18:46;8;1.37884E+12;6;13.8;;;;;;
18.09.2013 01:58;9;1.37947E+12;11;11.6;;;;;;
19.09.2013 07:49;9;1.37958E+12;9;11.6;;;;;;
19.09.2013 18:07;8;1.37961E+12;0;14.4;;;;;;
22.09.2013 07:48;7;1.37984E+12;2;10.2;;;;;;
24.09.2013 12:10;7;1.38002E+12;7;13.8;;;;;;
26.09.2013 00:44;6;1.38016E+12;6;16.4;;;;;;
29.09.2013 21:41;9;1.38049E+12;0;13.1;;;;;;
04.10.2013 00:45;9;1.38085E+12;8;11.8;;;;;;
04.10.2013 08:41;9;1.38088E+12;11;12.8;;;;;;
13.10.2013 12:09;9;1.38167E+12;3;10.1;;;;;;
15.10.2013 21:31;6;1.38187E+12;2;13.3;;;;;;
15.10.2013 22:48;5;1.38188E+12;2;12.8;;;;;;
16.10.2013 01:26;6;1.44504E+12;10;12.9;;;;;;
17.10.2013 02:40;7;1.38198E+12;8;13.7;;;;;;
19.10.2013 00:43;5;1.38214E+12;10;9.9;;;;;;
22.10.2013 04:01;5;1.38241E+12;0;11.6;;;;;;
24.10.2013 14:15;9;1.38262E+12;7;15.2;;;;;;
29.10.2013 00:58;9;1.38301E+12;1;10.7;;;;;;
01.11.2013 21:12;5;1.38334E+12;7;10;;;;;;
04.11.2013 10:26;5;1.38356E+12;3;10.5;;;;;;
06.11.2013 14:16;6;1.38375E+12;10;13.7;;;;;;
09.11.2013 17:52;7;1.38402E+12;7;10.6;;;;;;
15.11.2013 00:21;7;1.38447E+12;6;4.9;;;;;;
16.11.2013 23:58;8;1.38465E+12;4;4.9;;;;;;
21.11.2013 07:15;7;1.38502E+12;3;2.4;;;;;;
22.11.2013 07:21;5;1.3851E+12;4;1.2;;;;;;
28.11.2013 05:52;6;1.38562E+12;6;-3.2;;;;;;
07.12.2013 15:21;8;1.38643E+12;1;5.8;;;;;;
09.12.2013 07:46;5;1.38658E+12;6;-1.3;;;;;;
11.12.2013 10:42;5;1.38676E+12;0;0.5;;;;;;
14.12.2013 02:01;9;1.38699E+12;7;-1;;;;;;
20.12.2013 13:56;7;1.38755E+12;9;5.5;;;;;;
30.12.2013 20:17;6;1.38843E+12;1;0.2;;;;;;
08.01.2014 13:50;6;1.38919E+12;12;9.8;;;;;;
10.01.2014 11:25;5;1.38935E+12;2;4.6;;;;;;
12.01.2014 16:12;5;1.38954E+12;6;6.8;;;;;;
14.01.2014 09:59;7;1.38969E+12;6;4.3;;;;;;
14.01.2014 18:47;8;1.38973E+12;9;2.9;;;;;;
21.01.2014 05:42;9;1.39028E+12;5;4;;;;;;
21.01.2014 13:08;9;1.58805E+12;0;4.3;;;;;;
23.01.2014 22:29;7;1.39052E+12;2;5.5;;;;;;
24.01.2014 10:14;8;1.39056E+12;3;1.2;;;;;;
27.01.2014 20:39;8;1.39086E+12;10;3.8;;;;;;
31.01.2014 19:48;6;1.3912E+12;3;2;;;;;;
07.02.2014 08:08;8;1.39176E+12;10;2.1;;;;;;
09.02.2014 16:06;7;1.39196E+12;9;7.2;;;;;;
10.02.2014 16:36;8;1.39205E+12;12;8.3;;;;;;
15.02.2014 02:59;5;1.39243E+12;0;4.1;;;;;;
16.02.2014 03:33;8;1.39252E+12;12;4.7;;;;;;
20.02.2014 04:48;9;1.39287E+12;2;4;;;;;;
21.02.2014 12:54;7;1.39299E+12;4;6.3;;;;;;
26.02.2014 16:41;7;1.39343E+12;4;7.6;;;;;;
04.03.2014 15:43;6;1.39395E+12;2;4;;;;;;
07.03.2014 04:23;5;1.39417E+12;6;1.3;;;;;;
09.03.2014 14:01;8;1.39437E+12;12;10.7;;;;;;
12.03.2014 06:55;9;1.39461E+12;3;2;;;;;;
12.03.2014 14:58;8;1.39464E+12;0;10.6;;;;;;
15.03.2014 03:26;9;1.39485E+12;11;6.2;;;;;;
15.03.2014 08:16;7;1.39487E+12;10;7.1;;;;;;
24.03.2014 14:43;5;1.39567E+12;1;3.4;;;;;;
30.03.2014 11:45;6;1.39618E+12;5;12.1;;;;;;
30.03.2014 15:19;5;1.39619E+12;10;18.1;;;;;;
01.04.2014 22:19;9;1.39639E+12;2;13.1;;;;;;
05.04.2014 22:38;8;1.39674E+12;1;11.7;;;;;;
06.04.2014 16:52;9;1.3968E+12;7;17.3;;;;;;
08.04.2014 17:42;5;1.39698E+12;7;13.3;;;;;;
13.04.2014 23:24;7;1.39743E+12;12;13.6;;;;;;
21.04.2014 19:07;5;1.39811E+12;6;13.1;;;;;;
26.04.2014 01:16;6;1.39847E+12;2;13.2;;;;;;
05.05.2014 19:52;6;1.39932E+12;10;18.7;;;;;;
06.05.2014 16:07;9;1.39939E+12;2;19.2;;;;;;
13.05.2014 14:44;7;1.39999E+12;0;10.6;;;;;;
16.05.2014 20:37;5;1.40027E+12;2;14.6;;;;;;
20.05.2014 09:36;6;1.40058E+12;2;18.4;;;;;;
21.05.2014 07:36;7;1.40066E+12;0;15.3;;;;;;
23.05.2014 22:34;8;1.40088E+12;4;15.4;;;;;;
24.05.2014 02:00;8;1.4009E+12;8;12.9;;;;;;
27.05.2014 06:48;5;1.40117E+12;7;13.8;;;;;;
29.05.2014 15:39;8;1.40138E+12;12;18.8;;;;;;
30.05.2014 20:26;6;1.40148E+12;10;13.4;;;;;;
30.05.2014 22:02;9;1.40149E+12;8;11.5;;;;;;
31.05.2014 03:37;7;1.40151E+12;6;9;;;;;;
04.06.2014 10:09;8;1.40188E+12;7;15.7;;;;;;
04.06.2014 11:08;5;1.40188E+12;4;16.5;;;;;;
04.06.2014 21:36;6;1.40192E+12;0;15.6;;;;;;
05.06.2014 12:50;7;1.40197E+12;7;17.3;;;;;;
06.06.2014 14:27;5;1.40206E+12;9;22.6;;;;;;
12.06.2014 11:48;9;1.40257E+12;0;25.9;;;;;;
19.06.2014 15:18;8;1.40319E+12;10;21.9;;;;;;
25.06.2014 13:05;9;1.4037E+12;10;20.9;;;;;;
29.06.2014 00:41;5;1.404E+12;2;16.6;;;;;;
03.07.2014 14:07;7;1.4044E+12;0;21.3;;;;;;
06.07.2014 18:10;7;1.40467E+12;0;29.5;;;;;;
15.07.2014 15:14;9;1.40544E+12;5;22.3;;;;;;
17.07.2014 10:14;6;1.40559E+12;4;22.2;;;;;;
22.07.2014 02:19;9;1.406E+12;11;16.6;;;;;;
22.07.2014 13:16;9;1.40603E+12;6;18.1;;;;;;
24.07.2014 21:12;8;1.40624E+12;6;21.9;;;;;;
25.07.2014 18:46;6;1.40631E+12;3;26.1;;;;;;
26.07.2014 08:08;8;1.40636E+12;0;18.8;;;;;;
02.08.2014 16:40;6;1.407E+12;5;22.6;;;;;;
02.08.2014 21:59;6;1.40702E+12;2;18.6;;;;;;
19.08.2014 07:54;8;1.40843E+12;0;14.8;;;;;;
19.08.2014 11:16;8;1.40845E+12;7;16.8;;;;;;
21.08.2014 08:57;9;1.40861E+12;10;15.2;;;;;;
26.08.2014 23:12;9;1.40909E+12;10;19.2;;;;;;
27.08.2014 15:00;5;1.40915E+12;9;19.4;;;;;;
29.08.2014 13:48;5;1.40932E+12;6;20.4;;;;;;
30.08.2014 19:43;8;1.40943E+12;2;21.8;;;;;;
02.09.2014 06:19;9;1.40964E+12;8;10.2;;;;;;
06.09.2014 11:17;7;1.41E+12;0;19.3;;;;;;
10.09.2014 10:03;7;1.41034E+12;0;17.2;;;;;;
13.09.2014 04:44;5;1.41058E+12;0;13.3;;;;;;
16.09.2014 17:02;9;1.41089E+12;1;23.9;;;;;;
17.09.2014 01:48;5;1.41092E+12;12;16;;;;;;
19.09.2014 05:57;5;1.41111E+12;11;16.5;;;;;;
02.10.2014 16:15;8;1.41227E+12;12;20;;;;;;
03.10.2014 05:14;7;1.41231E+12;7;14.8;;;;;;
03.10.2014 21:30;7;1.41237E+12;3;14.1;;;;;;
11.10.2014 23:24;9;1.41307E+12;3;15.2;;;;;;
17.10.2014 06:54;5;1.41353E+12;7;17.3;;;;;;
17.10.2014 15:50;9;1.41356E+12;7;17.1;;;;;;
19.10.2014 00:34;9;1.41368E+12;5;13.1;;;;;;
27.10.2014 12:03;9;1.41441E+12;8;10;;;;;;
05.11.2014 08:38;7;1.41518E+12;6;7;;;;;;
06.11.2014 02:12;9;1.41524E+12;2;3;;;;;;
10.11.2014 01:39;9;1.41558E+12;12;7.1;;;;;;
11.11.2014 04:23;6;1.41568E+12;11;7;;;;;;
11.11.2014 05:50;6;1.41569E+12;10;6.8;;;;;;
12.11.2014 00:42;5;1.41575E+12;9;7.5;;;;;;
14.11.2014 03:30;9;1.41594E+12;3;8.8;;;;;;
15.11.2014 10:13;6;1.41605E+12;11;11.7;;;;;;
17.11.2014 21:38;7;1.37956E+12;1;8.1;;;;;;
23.11.2014 12:41;8;1.41675E+12;4;5.7;;;;;;
26.11.2014 10:44;8;1.417E+12;0;9.2;;;;;;
30.11.2014 20:29;7;1.41738E+12;5;4.3;;;;;;
01.12.2014 14:38;9;1.41744E+12;3;4.2;;;;;;
02.12.2014 19:36;9;1.41755E+12;11;4.3;;;;;;
05.12.2014 09:30;9;1.41777E+12;10;4;;;;;;
06.12.2014 06:11;5;1.41785E+12;7;3;;;;;;
14.12.2014 07:49;5;1.41854E+12;0;7.4;;;;;;
16.12.2014 00:30;8;1.41869E+12;9;8.1;;;;;;
29.12.2014 14:56;5;1.41987E+12;9;-3.7;;;;;;
02.01.2015 19:55;5;1.42023E+12;11;2.8;;;;;;
04.01.2015 03:05;7;1.42034E+12;6;8.7;;;;;;
06.01.2015 06:31;8;1.42053E+12;5;-2.4;;;;;;
08.01.2015 07:55;9;1.4207E+12;4;3.7;;;;;;
16.01.2015 22:58;6;1.42145E+12;8;5.2;;;;;;
23.01.2015 17:18;8;1.42203E+12;8;1.5;;;;;;
24.01.2015 20:03;5;1.42213E+12;8;0.5;;;;;;
25.01.2015 06:22;9;1.42217E+12;10;0.1;;;;;;
25.01.2015 21:08;6;1.42222E+12;3;-0.1;;;;;;
26.01.2015 10:58;7;1.42227E+12;9;-0.3;;;;;;
30.01.2015 07:18;7;1.4226E+12;6;1.6;;;;;;
02.02.2015 05:52;5;1.42286E+12;11;1.3;;;;;;
03.02.2015 04:52;5;1.42294E+12;8;-0.5;;;;;;
19.02.2015 11:43;5;1.42435E+12;3;2.5;;;;;;
19.02.2015 19:54;8;1.42438E+12;0;2.4;;;;;;
22.02.2015 16:47;5;1.42462E+12;11;4.5;;;;;;
22.02.2015 19:11;9;1.42463E+12;0;2.1;;;;;;
23.02.2015 04:52;7;1.42467E+12;11;-1.4;;;;;;
24.02.2015 05:14;7;1.42475E+12;9;4.6;;;;;;
01.03.2015 12:38;8;1.42521E+12;8;5.2;;;;;;
01.03.2015 13:08;7;1.42522E+12;6;5.2;;;;;;
02.03.2015 15:10;8;1.42531E+12;7;6.8;;;;;;
12.03.2015 05:44;7;1.42614E+12;3;1.1;;;;;;
13.03.2015 10:59;8;1.42624E+12;3;6.2;;;;;;
20.03.2015 05:16;9;1.42683E+12;1;4.9;;;;;;
25.03.2015 18:32;7;1.42731E+12;2;6.8;;;;;;
28.03.2015 15:08;9;1.42756E+12;5;12.6;;;;;;
31.03.2015 14:10;8;1.42781E+12;2;13.2;;;;;;
01.04.2015 05:03;5;1.42786E+12;11;7.5;;;;;;
11.04.2015 10:30;6;1.42875E+12;10;13.5;;;;;;
13.04.2015 02:15;8;1.42889E+12;0;9.8;;;;;;
17.04.2015 14:02;5;1.42928E+12;11;13.4;;;;;;
18.04.2015 12:22;8;1.42936E+12;3;10.1;;;;;;
19.04.2015 20:18;7;1.42947E+12;0;15.7;;;;;;
24.04.2015 07:58;8;1.42986E+12;12;7.4;;;;;;
29.04.2015 13:05;7;1.43031E+12;10;11.6;;;;;;
30.04.2015 11:32;7;1.43039E+12;12;13.6;;;;;;
05.05.2015 17:08;5;1.43085E+12;10;18.5;;;;;;
17.05.2015 23:40;6;1.43191E+12;0;15.7;;;;;;
26.05.2015 14:08;5;1.43265E+12;12;11.1;;;;;;
26.05.2015 17:20;9;1.43266E+12;1;12.5;;;;;;
28.05.2015 18:25;5;1.43284E+12;4;21.2;;;;;;
28.05.2015 23:26;8;1.43286E+12;12;15.9;;;;;;
04.06.2015 16:55;8;1.43344E+12;1;28.9;;;;;;
17.06.2015 09:04;7;1.43453E+12;10;17.3;;;;;;
17.06.2015 21:13;7;1.43458E+12;8;19.4;;;;;;
19.06.2015 12:51;5;1.43472E+12;3;17.3;;;;;;
24.06.2015 17:12;8;1.43517E+12;9;21.8;;;;;;
02.07.2015 15:22;9;1.43585E+12;2;31.2;;;;;;
06.07.2015 07:42;9;1.43617E+12;7;21.9;;;;;;
08.07.2015 23:46;6;1.4364E+12;3;19.4;;;;;;
13.07.2015 02:33;8;1.43675E+12;4;21.8;;;;;;
21.07.2015 00:38;7;1.43744E+12;0;24.3;;;;;;
27.07.2015 15:34;5;1.43801E+12;8;23;;;;;;
02.08.2015 13:47;7;1.43852E+12;5;21.3;;;;;;
13.08.2015 07:20;7;1.43945E+12;12;20;;;;;;
13.08.2015 10:29;8;1.43946E+12;8;25.1;;;;;;
15.08.2015 01:27;8;1.4396E+12;12;17.9;;;;;;
17.08.2015 13:08;7;1.43982E+12;8;18.9;;;;;;
17.08.2015 16:19;6;1.43983E+12;9;20.1;;;;;;
18.08.2015 12:24;7;1.4399E+12;2;18.9;;;;;;
19.08.2015 20:02;5;1.44001E+12;10;16.2;;;;;;
20.08.2015 12:50;8;1.44008E+12;9;19;;;;;;
23.08.2015 07:18;9;1.44031E+12;11;15.3;;;;;;
31.08.2015 04:27;9;1.441E+12;2;15.3;;;;;;
01.09.2015 02:05;7;1.44107E+12;11;15.3;;;;;;
10.09.2015 00:24;8;1.44184E+12;9;14.6;;;;;;
14.09.2015 13:40;8;1.44224E+12;2;19.3;;;;;;
14.09.2015 18:30;5;1.44226E+12;12;16.6;;;;;;
16.09.2015 02:39;7;1.44237E+12;2;14.1;;;;;;
19.09.2015 18:04;6;1.44269E+12;2;18.4;;;;;;
19.09.2015 22:56;6;1.4427E+12;3;15;;;;;;
21.09.2015 05:08;8;1.44281E+12;3;10.2;;;;;;
23.09.2015 03:12;8;1.44298E+12;2;11.5;;;;;;
27.09.2015 18:35;6;1.44338E+12;7;16.2;;;;;;
28.09.2015 20:13;6;1.44347E+12;10;13;;;;;;
03.10.2015 04:39;6;1.44385E+12;2;11.6;;;;;;
06.10.2015 06:02;5;1.44411E+12;2;15.2;;;;;;
09.10.2015 13:31;7;1.4444E+12;7;15.3;;;;;;
10.10.2015 00:18;9;1.44444E+12;0;10.5;;;;;;
11.10.2015 02:27;7;1.44453E+12;7;12;;;;;;
14.10.2015 23:09;6;1.44486E+12;12;7.9;;;;;;
15.10.2015 23:01;5;1.44495E+12;2;6.2;;;;;;
28.10.2015 07:23;9;1.44602E+12;12;9;;;;;;
31.10.2015 04:24;6;1.44627E+12;8;10.6;;;;;;
09.11.2015 13:26;6;1.44708E+12;11;19.2;;;;;;
12.11.2015 23:24;9;1.44737E+12;8;7.3;;;;;;
14.11.2015 11:04;9;1.4475E+12;8;10.6;;;;;;
14.11.2015 16:59;6;1.44752E+12;9;11;;;;;;
22.11.2015 00:20;5;1.44815E+12;7;2.1;;;;;;
23.11.2015 04:37;5;1.44825E+12;9;2.2;;;;;;
05.12.2015 08:14;7;1.4493E+12;1;4.6;;;;;;
06.12.2015 09:57;6;1.4494E+12;11;4.1;;;;;;
09.12.2015 22:35;5;1.4497E+12;3;3.5;;;;;;
10.12.2015 20:20;5;1.44978E+12;8;2.5;;;;;;
12.12.2015 04:21;7;1.44989E+12;8;7;;;;;;
12.12.2015 12:18;9;1.44992E+12;3;8.3;;;;;;
24.12.2015 11:30;8;1.45096E+12;1;7;;;;;;
26.12.2015 14:33;7;1.45114E+12;6;8.6;;;;;;
28.12.2015 12:23;7;1.45131E+12;9;1.2;;;;;;
03.01.2016 10:56;8;1.45182E+12;1;6.1;;;;;;
04.01.2016 11:15;9;1.45191E+12;12;4.7;;;;;;
09.01.2016 06:34;7;1.45232E+12;1;6.3;;;;;;
11.01.2016 02:14;7;1.45248E+12;5;5.9;;;;;;
11.01.2016 04:42;5;1.45249E+12;2;5.4;;;;;;
22.01.2016 06:37;8;1.45344E+12;11;0.3;;;;;;
25.01.2016 07:16;5;1.45371E+12;4;1.3;;;;;;
26.01.2016 01:47;7;1.45377E+12;2;2;;;;;;
31.01.2016 01:43;6;1.4542E+12;9;6.1;;;;;;
01.02.2016 04:56;9;1.4543E+12;11;12.6;;;;;;
03.02.2016 08:07;7;1.45449E+12;3;5.7;;;;;;
04.02.2016 02:02;9;1.45455E+12;12;2.6;;;;;;
04.02.2016 14:42;5;1.4546E+12;11;4.6;;;;;;
06.02.2016 05:04;8;1.45474E+12;2;1.8;;;;;;
08.02.2016 18:20;5;1.45496E+12;9;10.9;;;;;;
14.02.2016 02:41;5;1.45542E+12;0;9.3;;;;;;
24.02.2016 22:26;6;1.45635E+12;4;1.1;;;;;;
25.02.2016 23:01;7;1.45644E+12;2;2.3;;;;;;
28.02.2016 00:45;5;1.45662E+12;0;3.3;;;;;;
01.03.2016 16:04;6;1.45685E+12;8;5.5;;;;;;
02.03.2016 11:31;7;1.45692E+12;3;5.5;;;;;;
03.03.2016 00:08;7;1.45696E+12;8;1.7;;;;;;
03.03.2016 18:34;6;1.45703E+12;7;3.6;;;;;;
04.03.2016 14:58;9;1.4571E+12;0;5.2;;;;;;
08.03.2016 05:10;9;1.45741E+12;5;0.5;;;;;;
14.03.2016 00:03;9;1.45791E+12;5;4.9;;;;;;
14.03.2016 21:16;5;1.45799E+12;3;5.4;;;;;;
18.03.2016 16:57;8;1.45832E+12;5;15.9;;;;;;
21.03.2016 03:16;7;1.45853E+12;8;3.8;;;;;;
21.03.2016 16:20;6;1.45858E+12;12;7.2;;;;;;
23.03.2016 09:28;6;1.45873E+12;11;5.4;;;;;;
23.03.2016 14:09;8;1.45874E+12;6;6.9;;;;;;
08.04.2016 20:27;5;1.46015E+12;2;6.2;;;;;;
13.04.2016 12:53;6;1.46055E+12;9;11.5;;;;;;
